Item	Person	Number	Category	Tags
books for kids	kids	10	activities	essential
airpods	emily	1	activities	workout
airpods	ritchie	1	activities	workout
headphones	kids	2	activities	long car rides
yotos	kids	2	activities	long car rides
activity books	kids	4	activities	long car rides
books for grownups	grownups	2	activities	essential
art supplies	kids	1	activities	long car rides
edibles	all	1	activities	essential
ipads	kids	2	activities	long car rides
MPS bands	grownups	2	activities	workout
vapes	all	1	activities	essential
yoga blocks	all	2	activities	workout
flipbelt	grownups	1	activities	workout
running shoes	emily	1	shoes	workout
running shoes	ritchie	1	shoes	workout
yoga mats	all	2	activities	workout
sun hat	emily	1	clothing	essential
sun hat	ritchie	1	clothing	essential
sun hat	roxy	1	clothing	essential
sun hat	ada	1	clothing	essential
bras	emily	1	clothing	essential
warmest jacket	ritchie	1	clothing	cold weather, essential
warmest jacket	roxy	1	clothing	cold weather, essential
warmest jacket	ada	1	clothing	cold weather, essential
warmest jacket	emily	1	clothing	cold weather, essential
dresses	ada	2	clothing	essential
dresses	roxy	2	clothing	essential
fleece/sweater	ritchie	1	clothing	essential
fleece/sweater	emily	1	clothing	essential
fleece/sweater	roxy	1	clothing	essential
fleece/sweater	ada	1	clothing	essential
pajamas	emily	1	clothing	essential
pants	ritchie	3	clothing	essential
pants	emily	3	clothing	essential
mid layer	ada	1	clothing	essential
mid layer	emily	1	clothing	essential
mid layer	ritchie	1	clothing	essential
mid layer	roxy	1	clothing	essential
long-sleeved base layer	ada	2	clothing	essential
long-sleeved base layer	emily	2	clothing	essential
long-sleeved base layer	ritchie	2	clothing	essential
long-sleeved base layer	roxy	2	clothing	essential
pajamas	ada	2	clothing	essential
pajamas	roxy	2	clothing	essential
pants	ada	3	clothing	essential
pants	roxy	3	clothing	essential
rain jacket	ada	1	clothing	rain
rain jacket	roxy	1	clothing	rain
rain jacket	emily	1	clothing	rain
rain jacket	ritchie	1	clothing	rain
short sleeves/tanks	ada	3	clothing	essential
short sleeves/tanks	emily	3	clothing	essential
short sleeves/tanks	ritchie	3	clothing	essential
